brinkey	unikey	keyword match	university	brinkeyPop	unikeyPop
['escherichia coli']	[]	False	rug	1	3235
['bestuurdersaansprakelijkheid']	[]	False	ul	1	3235
['colloïdchemie']	[]	False	wur	1	3235
['vermogensrecht']	[]	False	rug	1	3235
['proteïnen']	[]	False	rug	1	3235
['schizofrenie']	['schizofrenie']	True	uu	1	5
['religieuze bouwkunst']	['soefisme', 'kosmologie']	False	ul	1	3
['kindergeneeskunde']	[]	False	rug	1	3235
['spoorwegen']	[]	False	tud	1	3235
['leidinggeven']	[]	False	rug	1	3235
['lepra']	['infectieziekten']	False	eur	1	9
['verkeer']	[]	False	tud	1	3235
['elektrocardiografie']	['elektrocardiografie']	True	ul	1	1
['farmacie']	['farmacie']	True	rug	1	2
['auditing']	['nederland']	False	rug	1	12
['leukemie']	[]	False	eur	1	3235
['kunstmatige inseminatie (mens)']	['gynaecologie', 'verloskunde']	False	eur	1	9
['anesthesiologie']	[]	False	rug	1	3235
['neurobiologie']	[]	False	eur	1	3235
['arbeidsrecht']	['werknemers', 'werkgevers', 'internet', 'arbeidsrecht']	False	eur	1	8
['kinesiologie']	[]	False	rug	1	3235
['membranen']	['membranen', 'computersimulatie']	False	wur	1	9
['allergie']	[]	False	eur	1	3235
['management ; gezondheidszorg']	['nederland', 'gezondheidszorg']	False	eur	1	48
['kosmologie']	[]	False	uu	1	3235
['computerarchitectuur']	[]	False	tud	1	3235
['organische technische oliën']	[]	False	rug	1	3235
['schimmels']	['schimmels', 'moleculaire biologie']	False	wur	1	5
['baarmoederhalskanker']	['hals', 'kanker']	False	ul	1	11
['moleculaire biologie']	[]	False	rug	1	3235
['nier(ziekten)']	[]	False	rug	1	3235
['cardiologie']	['cardiologie']	True	rug	1	32
['barrett-oesofagus']	['epidemiologie']	False	eur	1	10
['intensive care']	[]	False	rug	1	3235
['verkoudheid']	[]	False	eur	1	3235
['endocrinologie']	[]	False	rug	1	3235
['embryologie']	[]	False	rug	1	3235
['astrofysica']	[]	False	rug	1	3235
['overgewicht']	[]	False	ul	1	3235
['koeltechniek']	[]	False	tud	1	3235
['grondrechten']	['grondrechten']	True	ul	1	1
['echocardiografie']	['cardiologie', 'echocardiografie']	False	eur	1	13
['astma']	['astma']	True	rug	1	9
['diabetes']	[]	False	rug	1	3235
['productontwikkeling']	[]	False	tud	1	3235
['bestuursprocesrecht']	[]	False	rug	1	3235
['nanotechnologie']	[]	False	rug	1	3235
['malaria']	['afrika']	False	eur	1	4
['kanker']	['hematologie']	False	rug	1	8
['hydrodynamica']	[]	False	tud	1	3235
['luchtverontreiniging']	['atmosfeer']	False	uu	1	3
['vennootschappen']	['juridische splitsing']	False	eur	1	1
['tuberculose']	['tuberculose']	True	ul	1	5
['tandheelkunde']	[]	False	rug	1	3235
['mathematische natuurkunde']	[]	False	rug	1	3235
['verpleegkundigen']	[]	False	rug	1	3235
['amyotrofische lateraal sclerose']	[]	False	eur	1	3235
['kennissystemen']	[]	False	tud	1	3235
['geneesmiddelen ; bijwerkingen']	[]	False	rug	1	3235
['perceptie']	[]	False	rug	1	3235
['dna']	['dna']	True	eur	1	6
['regenwouden']	['regenwouden', 'paleontologie', 'afrika', 'ijstijden', 'gabon', 'plantengeografie']	False	wur	1	13
['europees recht']	[]	False	ul	1	3235
['sociale ethiek']	[]	False	rug	1	3235
['klimatologie']	['waterbouwkunde', 'weersvoorspelling', 'neerslag', 'overstromingen', 'klimatologie', 'nederland']	False	wur	1	29
['syndroom van guillain-barré']	['verlamming', 'neurologie']	False	eur	1	19
['gebarentaal']	['gebarentaal']	True	uu	1	1
['elektronen']	[]	False	rug	1	3235
['kerkvaders']	[]	False	rug	1	3235
['virologie']	[]	False	rug	1	3235
['ziekte van hodgkin']	[]	False	rug	1	3235
['bodemverontreiniging']	[]	False	wur	1	3235
['dementie']	['zwakzinnigheid']	False	eur	1	3
['micro-elektronica']	[]	False	tud	1	3235
['radiotherapie']	['radiotherapie']	True	eur	1	4
['computernetwerken']	[]	False	tud	1	3235
['geldverkeer']	[]	False	eur	1	3235
['toegepaste wiskunde']	[]	False	rug	1	3235
['plantengenetica']	[]	False	rug	1	3235
['hematologie']	[]	False	eur	1	3235
['informatiesystemen']	[]	False	rug	1	3235
['fysische chemie']	[]	False	ul	1	3235
['ziekte van alzheimer']	[]	False	rug	1	3235
['elektriciteitsvoorziening']	[]	False	tud	1	3235
['algebra']	[]	False	ul	1	3235
['leraren']	[]	False	ul	1	3235
['luminescentie']	[]	False	rug	1	3235
['orgaan- en weefseldonaties']	[]	False	rug	1	3235
['slakken']	['indische oceaan', 'slakken', 'dna']	False	ul	1	9
['containervervoer']	['containervervoer']	True	eur	1	1
['ferromagnetische materialen']	[]	False	rug	1	3235
['verkeersvraagstuk']	[]	False	tud	1	3235
['luchtvaarttechniek']	[]	False	tud	1	3235
['speltheorie']	[]	False	eur	1	3235
['infrastructuur']	[]	False	tud	1	3235
['voedingsmiddelentechnologie']	['membranen', 'computersimulatie']	False	wur	1	9
['schisis']	['kaakchirurgie', 'orthodontie']	False	ul	1	2
['topologie']	[]	False	uu	1	3235
['sociale media']	[]	False	tud	1	3235
['weekdieren']	[]	False	rug	1	3235
['vetten']	[]	False	tud	1	3235
['enzymen']	[]	False	rug	1	3235
['treinverkeer']	[]	False	tud	1	3235
['vakkenpakketkeuze']	[]	False	rug	1	3235
['gedragsstoornissen']	[]	False	eur	1	3235
['tunnelbouw']	[]	False	tud	1	3235
['scheepsbouw']	[]	False	tud	1	3235
['asfalt']	[]	False	tud	1	3235
['productieplanning']	[]	False	rug	1	3235
['biobrandstoffen']	[]	False	rug	1	3235
['strafprocesrecht']	['strafrecht']	False	ul	1	1
['atomen']	[]	False	tud	1	3235
['schildklierkanker']	[]	False	rug	1	3235
['rechtsfilosofie']	[]	False	ul	1	3235
['biomaterialen']	[]	False	rug	1	3235
['plantenveredeling']	[]	False	wur	1	3235
['pijn(bestrijding)']	['kinderen']	False	eur	1	13
['prostaatkanker']	[]	False	rug	1	3235
['hydrologie']	[]	False	uu	1	3235
['verzoening (theologie)']	[]	False	rug	1	3235
['orthopedische chirurgie']	[]	False	rug	1	3235
['nek- en rugklachten']	[]	False	rug	1	3235
['supergeleiding']	[]	False	tud	1	3235
['spectroscopie']	[]	False	tud	1	3235
['trombose']	[]	False	rug	1	3235
['medisch onderwijs']	['hoger onderwijs', 'onderwijs']	False	rug	1	5
['vogelkunde']	['vogels', 'biomechanica', 'duiven', 'mechanica']	False	wur	1	7
['hemofilie']	['hemofilie']	True	uu	1	2
['magnetische resonantie']	['reumatologie', 'orthopedie']	False	eur	1	23
['erfelijkheidsleer']	['theoretische biologie', 'genomica']	False	rug	1	2
['gewrichtsziekten']	[]	False	eur	1	3235
['elektronische schakelingen']	[]	False	tud	1	3235
['septikemie']	['septikemie']	True	rug	1	1
['ademhalingsorganen']	['farmacologie', 'astma']	False	eur	1	16
['contactlenzen']	[]	False	rug	1	3235
['keel-, neus- en oorziekten']	[]	False	rug	20	3235
['chemotherapie']	[]	False	eur	1	3235
['chirurgie']	[]	False	eur	1	3235
['cartografie']	[]	False	uu	1	3235
['milieurecht']	[]	False	uu	1	3235
['zwangerschapshypertensie']	[]	False	rug	1	3235
['bacteriën']	[]	False	rug	1	3235
['ziekenhuisinfecties']	['antibiotica', 'infectieziekten']	False	rug	1	18
['neutronenradiografie']	[]	False	tud	1	3235
['computerwiskunde']	[]	False	tud	1	3235
['spierstelsel']	['reumatologie', 'orthopedie']	False	eur	1	23
['darmziekten']	['gastro-enterologie']	False	eur	1	10
['duurzame landbouw']	['duitsland', 'marketing', 'landbouwproducten', 'markten', 'nederland']	False	wur	1	32
['xenotransplantatie']	['chirurgie', 'immunologie', 'xenotransplantatie']	False	eur	1	12
['strafrecht']	['strafrecht', 'aansprakelijkheid']	False	eur	1	5
['oogheelkunde']	[]	False	rug	1	3235
['ganzen']	['ganzen']	True	rug	1	1
['huidziekten']	['europa', 'epidemiologie']	False	eur	1	32
['kankerpatiënten']	[]	False	rug	1	3235
['plantenziekten']	['bodemverontreiniging']	False	wur	1	7
['mars (planeet)']	[]	False	ul	1	3235
['systeemtheorie']	[]	False	rug	1	3235
['kennisleer']	[]	False	rug	1	3235
['levensbeschrijvingen']	[]	False	rug	1	3235
['cholesterol']	['vervoer']	False	rug	1	1
['internationaal handelsrecht']	[]	False	rug	1	3235
['ademhalingsstoornissen']	[]	False	ul	1	3235
['optica']	['holte']	False	ul	1	1
['spraakstoornissen']	[]	False	eur	1	3235
['gentherapie']	['gentherapie']	True	ul	1	5
['patiëntenrecht']	['dementie', 'zwakzinnigheid']	False	eur	1	3
['chromatografie']	[]	False	tud	1	3235
['cognitieve psychologie']	[]	False	rug	1	3235
['computersystemen']	[]	False	rug	1	3235
['biofysica']	[]	False	rug	1	3235
['anorganische chemie']	[]	False	tud	1	3235
['arbeidssociologie']	[]	False	rug	1	3235
['chemisch onderzoek']	[]	False	ul	1	3235
['polymeren']	[]	False	tud	1	3235
['kindermishandeling']	['kindermishandeling']	True	eur	1	1
['salmonella']	[]	False	wur	1	3235
['uitgeverij']	['psychoanalyse']	False	ul	1	1
['vloeistoffen ; mechanica']	[]	False	rug	1	3235
['decubitus']	[]	False	eur	1	3235
['ouderen ; gezondheidszorg']	[]	False	rug	1	3235
['archeologie']	[]	False	ul	1	3235
['personeelsbeleid']	['nederland', 'ierland']	False	rug	1	43
['universiteiten']	[]	False	ul	1	3235
['leesvaardigheid']	['leesvaardigheid', 'kinderen']	False	ul	1	12
['fonologie']	['fonetiek']	False	uu	1	2
['organisatieontwikkeling']	[]	False	tud	1	3235
['syndroom van sotos']	['aangeboren afwijkingen']	False	ul	1	2
['hormonen']	['endocrinologie']	False	eur	1	2
['ontwikkelingsbiologie']	[]	False	uu	1	3235
['bosbouw']	['bomen']	False	uu	1	1
['mensenhandel']	[]	False	ul	1	3235
['functietheorie']	[]	False	rug	1	3235
['voedingsmiddelen']	[]	False	wur	1	3235
['sterren']	[]	False	rug	1	3235
['flora']	[]	False	ul	1	3235
['democratie']	[]	False	rug	1	3235
['licht']	[]	False	uu	1	3235
['fruitteelt']	['fruitteelt']	True	wur	1	1
['glaucoom']	['glaucoom']	True	rug	1	1
['marketing']	[]	False	rug	1	3235
['transistoren']	[]	False	tud	1	3235
['wind']	['wind', 'meteorologie']	False	wur	1	4
['management']	[]	False	rug	1	3235
['grammatica']	['syntaxis', 'grammatica']	False	uu	1	3
['boeddhisme']	[]	False	rug	1	3235
['mathematische programmering']	[]	False	rug	1	3235
['zakenrecht']	[]	False	ul	1	3235
['reclamepsychologie']	['reclame']	False	eur	1	1
['financieringsleer']	[]	False	rug	1	3235
['voedingsgewoonten']	['psychologie', 'communicatie', 'voedingsgewoonten', 'ethiek', 'identiteit', 'internet', 'eetstoornissen']	False	wur	1	20
['autisme']	['autisme']	True	ul	1	1
['kernreactie']	['zuurstof']	False	rug	1	2
['maagkanker']	[]	False	ul	1	3235
['verpleegkunde']	['spiritualiteit', 'verpleegkunde']	False	rug	1	2
['bestuursrecht']	[]	False	ul	1	3235
['toxicologie']	['toxicologie']	True	rug	1	1
['kinderpsychiatrie']	['psychopathologie', 'kinderen', 'psychiatrie']	False	rug	1	33
['wegenbouwkunde']	[]	False	tud	1	3235
['aardappelen ; ziekten']	['aardappelen']	False	wur	1	5
['borstkanker']	['oncologie', 'gynaecologie', 'borstkanker']	False	eur	1	14
['plasmafysica']	[]	False	uu	1	3235
['bosbeheer']	[]	False	rug	1	3235
['mathematische statistiek']	[]	False	eur	1	3235
['echografie']	[]	False	eur	1	3235
['lineaire programmering']	[]	False	tud	1	3235
['radiochemie']	[]	False	tud	1	3235
['materiaalmoeheid']	[]	False	tud	1	3235
['plantenecologie']	[]	False	ul	1	3235
['psychiatrische behandelingsmethoden']	[]	False	ul	1	3235
['hersenbloeding']	['epidemiologie', 'neurologie']	False	eur	1	23
['zwaartekracht']	[]	False	rug	1	3235
['ruimteonderzoek']	[]	False	tud	1	3235
['orthodontie']	[]	False	rug	1	3235
['lactococcen']	['membranen']	False	rug	1	9
['moleculaire natuurkunde']	[]	False	ul	1	3235
['tweetaligheid']	[]	False	rug	1	3235
['longkanker']	[]	False	rug	1	3235
['sociale relaties']	[]	False	uu	1	3235
['tumoren']	[]	False	rug	1	3235
['natuuronderwijs']	['wetenschappelijk onderwijs']	False	uu	1	2
['privatisering']	['privatisering', 'verenigde staten', 'economische politiek']	False	rug	1	6
['erfelijke ziekten']	[]	False	rug	1	3235
['immigratie']	[]	False	ul	1	3235
['intern transport']	[]	False	tud	1	3235
['reuma']	[]	False	eur	1	3235
['chemie']	[]	False	rug	1	3235
['verstandelijk gehandicapten']	[]	False	rug	1	3235
['hoge-energiefysica']	[]	False	uu	1	3235
['goederenvervoer']	[]	False	tud	1	3235
['mantelzorg']	['mantelzorg']	True	eur	1	1
['verkeerswegen']	[]	False	rug	1	3235
['rijstbouw']	['onkruidbestrijding', 'erfelijkheid', 'plantenveredeling', 'onkruid']	False	wur	1	13
['teamwerk']	[]	False	rug	1	3235
["computerprogramma's"]	[]	False	ul	1	3235
['slechthorendheid']	['psychopathologie', 'communicatie', 'taal', 'empathie', 'kinderen']	False	ul	1	35
['bioritmen']	[]	False	rug	1	3235
['gezondheidszorg ; nederland']	['nederland', 'baarmoederhalskanker']	False	eur	1	44
['fotochemie']	[]	False	ul	1	3235
['vliegtuigmaterialen']	[]	False	tud	1	3235
['klassieke filosofie']	[]	False	uu	1	3235
['bedrijfsorganisatie']	[]	False	ul	1	3235
['geneesmiddelengebruik']	[]	False	uu	1	3235
['depressiviteit']	[]	False	rug	1	3235
['taalbeheersing']	['nederland']	False	rug	1	12
['verkeersongelukken']	['kinderen']	False	rug	1	13
['onderhandelen']	['onderhandelen']	True	ul	1	2
['privaatrecht']	[]	False	ul	1	3235
['waarschijnlijkheidsrekening']	[]	False	tud	1	3235
['ecosystemen']	[]	False	rug	1	3235
['internationaal strafrecht']	[]	False	rug	1	3235
['diergedrag']	[]	False	rug	1	3235
['funderingstechniek']	[]	False	tud	1	3235
['varkenshouderij']	['veeteelt', 'varkens']	False	wur	1	11
['internationale economie']	[]	False	rug	1	3235
['mathematische psychologie']	[]	False	rug	1	3235
['bewegingstherapie']	[]	False	rug	1	3235
['gezinssociologie']	[]	False	uu	1	3235
['algen']	['noordzee']	False	rug	1	1
['psychiatrische centra']	['psychopathologie', 'nederland', 'psychiatrie']	False	rug	1	79
['beurswezen']	['aandelen', 'markten']	False	eur	1	2
['elektrochemie']	[]	False	rug	1	3235
['chips']	[]	False	tud	1	3235
['rioleringen']	[]	False	tud	1	3235
['plastische chirurgie']	[]	False	rug	1	3235
['hiv']	[]	False	rug	1	3235
['melkveehouderij']	['rundvee', 'vruchtbaarheid']	False	wur	1	4
['zonnecellen']	[]	False	rug	1	3235
['economie']	['bedrijfseconomie']	False	ul	1	1
['ecologie']	['plankton', 'wieren']	False	rug	1	4
['psychosen']	['psychopathologie', 'twente', 'friesland', 'psychiatrie', 'geestelijke gezondheidszorg', 'psychosen']	False	rug	1	34
['statistiek']	[]	False	eur	1	3235
['mechanische technologie']	[]	False	tud	1	3235
['ziekte van huntington']	[]	False	ul	1	3235
['virussen']	[]	False	rug	1	3235
['intuïtionisme (wiskunde)']	[]	False	uu	1	3235
['farmaceutische producten']	[]	False	rug	1	3235
['sociale psychologie']	[]	False	rug	1	3235
['identiteit', 'emigratie', 'cultuursociologie']	[]	False	rug	9	3235
['bouwwetgeving']	[]	False	tud	1	3235
['klassieke oudheid']	[]	False	rug	1	3235
['pluimvee(houderij)']	[]	False	wur	1	3235
['gasvoorziening']	[]	False	tud	1	3235
['voedselallergie']	[]	False	rug	1	3235
['computersimulatie']	['software', 'industrie']	False	eur	1	9
['ijstijden']	[]	False	uu	1	3235
['overheidsorganisatie']	['democratie']	False	uu	1	1
['windturbines']	[]	False	tud	1	3235
['aardappelen']	['aardappelen', 'akkerbouw']	False	wur	1	21
['spraak (computertechniek)']	['kunstmatige intelligentie']	False	tud	1	2
['gist']	[]	False	rug	1	3235
['openbaar vervoer']	[]	False	tud	1	3235
['cryptologie']	[]	False	tud	1	3235
['organisatiesociologie']	['nederland', 'organisatiesociologie', 'gezondheidszorg']	False	rug	1	49
['genen']	[]	False	eur	1	3235
['grondmechanica']	[]	False	tud	1	3235
['antibiotica']	[]	False	rug	1	3235
['lymfklier(ziekten)']	[]	False	eur	1	3235
['vermogenselektronica']	[]	False	tud	1	3235
['plantaardige oliën']	[]	False	rug	1	3235
['gehandicapten ; beleid']	['gehandicaptenzorg']	False	rug	1	1
['kankerbestrijding']	['kanker']	False	eur	1	20
['anorexia nervosa']	[]	False	rug	1	3235
['bloed']	['medische technologie', 'farmacologie', 'massaspectrometrie']	False	uu	1	11
['huisartsgeneeskunde']	['huisartsgeneeskunde', 'urk']	False	rug	1	2
['mondziekten']	[]	False	eur	1	3235
['schilderkunst']	[]	False	uu	1	3235
['visteelt']	['aquacultuur', 'visteelt']	False	wur	1	9
['vegetatiekunde']	['benin', 'biodiversiteit', 'natuurbescherming', 'plantengeografie', 'west-afrika']	False	wur	1	39
['dieselmotoren']	[]	False	tud	1	3235
['tuberculosebestrijding']	[]	False	rug	1	3235
['handelswetenschappen']	[]	False	rug	1	3235
['drug targeting']	['farmacotherapie']	False	rug	1	2
['regeltechniek']	[]	False	tud	1	3235
['klimaatveranderingen']	[]	False	uu	1	3235
['windmolens']	[]	False	tud	1	3235
['beton']	[]	False	tud	1	3235
['groepentheorie (wiskunde)']	[]	False	uu	1	3235
['prenatale diagnostiek']	[]	False	eur	1	3235
['interne geneeskunde']	[]	False	rug	1	3235
['wachttijdtheorie']	[]	False	uu	1	3235
['bedrijfsethiek']	['bedrijfsethiek']	True	eur	1	1
['arbeidspsychologie']	[]	False	rug	1	3235
['filosofie']	[]	False	rug	1	3235
['biomarkers']	[]	False	ul	1	3235
['experimentele fysica']	[]	False	tud	1	3235
['software']	[]	False	rug	1	3235
['internationale organisaties']	['duitsland', 'nederland', 'verenigde staten']	False	ul	1	59
['farmacotherapie']	['farmacie', 'ziekenhuizen']	False	rug	1	6
['seismologie']	[]	False	tud	1	3235
['kernreactoren']	[]	False	tud	1	3235
['bedrijfsgeneeskunde']	['bedrijfsgeneeskunde', 'arbeidsinspectie']	False	rug	1	5
['blaaskanker']	['urologie', 'blaaskanker']	False	eur	1	14
['vogels']	[]	False	uu	1	3235
['huidkanker']	[]	False	rug	1	3235
['geestelijke gezondheidszorg']	['geestelijke gezondheidszorg']	True	rug	1	1
['verkeersveiligheid']	[]	False	tud	1	3235
['gynaecologie']	[]	False	rug	1	3235
['geloof en wetenschap']	[]	False	rug	1	3235
['wetenschappelijk onderwijs']	[]	False	ul	1	3235
['parodontologie']	['microbiologie', 'tandheelkunde']	False	rug	1	12
['gerontologie']	['gerontologie']	True	rug	1	3
['ovaria']	[]	False	eur	1	3235
['whiplash']	['traumatologie']	False	rug	1	4
['information retrieval']	[]	False	rug	1	3235
['hoogspanningstechniek']	[]	False	tud	1	3235
['orthopedie']	['orthopedie']	True	rug	1	4
['voorraadbeheer']	[]	False	eur	1	3235
['logica']	['logica']	True	rug	1	1
['rekenstoornissen']	[]	False	uu	1	3235
['lymfocyten']	['immunologie', 'antigenen']	False	eur	1	12
['woningbouwverenigingen']	[]	False	tud	1	3235
['italiaanse letterkunde']	[]	False	ul	1	3235
['rna']	[]	False	uu	1	3235
['europees milieubeleid']	['milieubeleid', 'milieurecht']	False	rug	1	20
['verpakking']	[]	False	tud	1	3235
['ruimtevaarttechniek']	[]	False	tud	1	3235
['erfpacht']	['erfpacht', 'zakenrecht']	False	rug	1	4
['insectenbestrijding']	['voortplanting', 'biologische bestrijding']	False	wur	1	9
['woninghygiëne']	[]	False	tud	1	3235
['hermeneutiek']	[]	False	uu	1	3235
['aardmagnetisme']	[]	False	uu	1	3235
['internationaal recht']	[]	False	ul	1	3235
['econometrische modellen']	['macro-economie']	False	rug	1	2
['logistiek']	[]	False	rug	1	3235
['gezondheidszorg']	[]	False	eur	1	3235
['weefselleer ; menskunde']	[]	False	rug	1	3235
['chemische technologie']	[]	False	tud	1	3235
['popmuziek']	[]	False	eur	1	3235
['geriatrie']	[]	False	rug	1	3235
['verbintenissenrecht']	[]	False	eur	1	3235
['faillissementsrecht']	['staatsschuld']	False	ul	1	1
['onderwijsresearch']	[]	False	rug	1	3235
['infectieziekten']	['tuberculose']	False	ul	1	5
['bedrijfsvestiging']	[]	False	uu	1	3235
['kinderloosheid']	[]	False	uu	1	3235
['daltononderwijs']	[]	False	rug	1	3235
['taalverwerving']	[]	False	uu	1	3235
['sponzen']	['farmaceutische producten', 'sponzen']	False	wur	1	2
['osteoporose']	['osteoporose']	True	eur	1	3
['geneeskunde ; opleiding']	[]	False	eur	1	3235
['havens']	[]	False	tud	1	3235
['stervensbegeleiding ; medische aspecten']	[]	False	eur	1	3235
['ondergronds bouwen']	[]	False	tud	1	3235
['emissiehandel']	[]	False	rug	1	3235
['systeemontwikkeling (informatica)']	[]	False	tud	1	3235
['astronomie']	[]	False	rug	1	3235
['zwangerschap']	[]	False	rug	1	3235
['straling']	[]	False	tud	1	3235
['pedagogiek']	['speciaal onderwijs']	False	ul	1	1
['borstvoeding']	[]	False	rug	1	3235
['posttraumatische dystrofie']	['neurologie']	False	eur	1	16
